"Groupe";"Adresse";"Surface (m2)";"PDL (Electricité)"
"ASCE Union d'associations";"15 RUE REMOIVILLE (STADE ROGER) 91100 CORBEIL-ESSONNES";"";""
"ASCE voile ESPAR";"110 QUAI JACQUES BOURGOIN 91100 CORBEIL-ESSONNES";"112";"22269175074413"
"City stade de Jean Macé";"3 RUE GUSTAVE COURBET 91100 CORBEIL-ESSONNES";"";""
"City stade de l'Arquebuse";"3/5 RUE DE L'ARQUEBUSE 91100 CORBEIL-ESSONNES";"";""
"City stade de l'Ermitage";"RUE HENRI BERREAU 91100 CORBEIL-ESSONNES";"";""
"City stade de Montconseil";"RUE RENÉE PIERRE 91100 CORBEIL-ESSONNES";"";""
"City stade du marché des Tarterêts";"PLACE NICOLAS TARTERÊTS 91100 CORBEIL-ESSONNES";"";""
"City stade du Paradis";"RUE DE L'ENFER 91100 CORBEIL-ESSONNES";"";""
"City stade parc Léopold Senghor";"14 AVENUE LÉON BLUM 91100 CORBEIL-ESSONNES";"";""
"City stade Pressoir-Prompt";"RUE LOUIS BAUDOIN 91100 CORBEIL-ESSONNES";"";""
"City stade Théodore Steeg";"RUE DES MARAIS 91100 CORBEIL-ESSONNES";"";""
"Complexe sportif La Nacelle Canoé-Kayak";"RUE D'ANGOULÊME 91100 CORBEIL-ESSONNES";"280";"22236179420788"
"Gymnase de La Nacelle";"1 RUE DE LA NACELLE 91100 CORBEIL-ESSONNES";"1700";"30002220658502"
"Gymnase des Hauts Tarterêts";"9 AV DU GÉNÉRAL DE GAULLE 91100 CORBEIL-ESSONNES";"1450";"30002220766932"
"Gymnase Jean Macé";"3 RUE GUSTAVE COURBET 91100 CORBEIL-ESSONNES";"980";"22290303878076"
"Gymnase Louise Michel";"17 CHEMINS DES MOZARDS 91100 CORBEIL-ESSONNES";"1200";"22235455831701"
"Gymnase Maurice Broguet";"2/4 AVENUE PAUL MAINTENANT 91100 CORBEIL-ESSONNES";"1716";"30002220275228"
"Gymnase Montconseil";"76 BD HENRI DUNANT 91100 CORBEIL-ESSONNES";"1200";"50000688586100"
"Local bouliste stade Mercier";"RUE DU BAS-COUDRAY 91100 CORBEIL-ESSONNES";"";""
"Motonautisme";"88 CHEMIN DES BAS-VIGNONS 91100 CORBEIL-ESSONNES";"20";"22265557063401"
"Stade de Robinson";"12 RUE FERNAND LAGUIDE 91100 CORBEIL-ESSONNES";"962";"30002220763353, 30002220301124"
"Stade Louis Mercier (Leo Lagrange)";"1 BOULEVARD HENRI DUNANT 91100 CORBEIL-ESSONNES";"807";"30002220712516"
"Templin foot + Club House";"AVENUE LÉON BLUM 91100 CORBEIL-ESSONNES";"270";"30002220273538"
"Tennis couvert + Club House (stade Roger)";"17 RUE DU BAS COUDRAY 91100 CORBEIL-ESSONNES";"100";"22254269083395"
"Terrain de boules de l'Ermitage";"93 RUE GEORGES LE DÛ 91100 CORBEIL-ESSONNES";"";""
"Vestiaires Stade Roger";"15 RUE REMOIVILLE 91100 CORBEIL-ESSONNES";"";""
"Centre Technique Municipal";"35 RUE DU BAS COUDRAY 91100 CORBEIL-ESSONNES";"4820";"30002220586930, 50038060726232"
"Imprimerie Municipale";"4 RUE PAUL DOUMER 91100 CORBEIL-ESSONNES";"386";"22226483328160"
"Service Logistique";"37 QUAI DE L'APPORT PARIS 91100 CORBEIL-ESSONNES";"609";"30002220895853"
